Gene,N-FACS (1+2+3),N-T0 (2+3),N-T3 (1+2+3)
CG32695,0.092360527,0.627190347,0.281681023
CG32698,3.544010514,7.043932718,9.99974074
CG32699,69.92304408,73.68830403,58.91016427
CG3270,9.371728997,10.2309182,9.96476516
CG32700,11.09745255,0.387362265,0.434173112
CG32706,0.848496474,2.193818574,3.067909172
CG32708,26.2869069,25.6565414,24.98261339
CG32712,0.691473356,0.231238498,0.251855941
CG32713,0,0.052041256,0
CG32718,0,0,0.038123022
CG32719,0.129325183,0.202270716,0.262712185
CG32720,0,0,0
CG32726,0,0,0
CG32727,0,0,0
CG32732,48.96029957,49.06485494,44.25142087
CG32736,0,0,0
CG32750,0,0.156123767,0.157608698
CG32751,0,0,0.0326949
CG32755,1.272052741,0.566559507,0.551100483
CG32756,18.27491783,42.49181229,38.45866853
CG32758,79.42546983,64.1079769,67.85624641
CG32762,0,0,0.0326949
CG32767,137.1121624,54.28444614,97.3365409
CG3277,1.530771117,3.167614791,3.472417257
CG32772,23.83850784,47.82427787,49.68563458
CG32783,3.571277234,4.993945544,4.6434078
CG32786,0,0,0
CG32791,25.58212916,35.60113155,40.41535411
CG32793,0.09587667,0.089598621,0
CG32795,63.35057533,76.06149636,59.53360556
CG32797,0.02993237,0.052041256,0.039402174
CG3280,1.382946712,0.942133158,1.513130103
CG32801,2.511677704,3.985790993,3.448550256
CG32803,32.27638782,42.40878824,39.11516682
CG32806,0.093642235,0,0
CG32808,2.683944874,3.566261916,3.574743206
CG32809,147.8898075,150.9728453,136.4382429
CG3281,25.51746859,27.87005791,29.03101793
CG32811,0.031214078,0.052041256,0.072097074
CG32812,0.402232654,0.716788967,0.519684735
CG32813,50.04887787,47.59203187,47.26674115
CG32814,0.512831864,0.141639877,0.303393512
CG32815,36.49225152,41.37536869,36.39103766
CG32816,0.717231616,0.924953991,0.649185183
CG32817,3.545155769,5.005230405,6.372517614
CG32819,0,0,0
CG32820,0.064662592,0.156123767,0.333530107
CG32829,2.924129805,1.540355723,1.358332044
CG32832,0.031214078,0,0.077525197
CG32833,0,0,0
CG32834,0,2.165354546,0.0653898
CG32845,2.635115854,3.127362149,2.215292065
CG32846,0.156070392,0,0
CG32847,0.367502431,0.83535537,0.584233063
CG3285,0.031214078,0.416330046,0.076246044
CG32850,126.623925,184.1591713,173.3751966
CG32855,0.374863702,0,0.104791974
CG32856,27.27126118,30.3323451,26.80360609
CG32857,0,0,0
CG3288,0.795335039,0,0.598800597
CG3290,0.186626505,0.193681133,0.182317171
CG3292,0.062428157,0.104082512,0
CG32939,0,0,0
CG3294,14.89042541,28.22744489,24.74153002
CG32944,14.50908717,1.04621567,1.027545587
CG32945,0.031214078,0,0
CG3295,50.62556843,60.00296501,61.70585065
CG32971,0.183439344,0.037557365,0.070817922
CG32982,4.914084063,1.081077758,1.000278809
CG32983,0.161491988,0.471066579,0.736413639
CG32984,0.031214078,2.745390437,0.475292119
CG32985,0.062428157,0.037557365,0
CG32986,0.184721053,0.297763644,0.645473894
CG32987,0.159257553,0.433509214,0.892743184
CG32988,0.158304827,0.641674237,0.404474197
CG33003,0.215935131,0.037557365,0.46003457
CG3301,0.252899788,5.927489119,7.793554986
CG33012,0.156070392,0.052041256,0
CG33017,0.189189923,0,0
CG3303,1.066439289,1.768898944,2.726518805
CG33051,22.13820365,25.4923318,22.79702806
CG33052,30.07008161,34.54819058,32.43859097
CG33054,9.403113316,12.01059825,9.725793809
CG33056,8.861506708,9.655769109,8.299142968
CG33057,0,0,0
CG3306,0,0,0.038123022
CG33060,0,0,0
CG33061,0,0,0
CG33062,9.840132266,20.8631788,19.7286236
CG3308,30.90032746,65.74956912,63.26561206
CG33080,3.261938554,4.421995484,9.969065587
CG33082,8.640864021,9.976606228,8.818979949
CG3309,13.72587704,23.06558696,21.11078876
CG33090,13.66665833,15.29778695,17.34452119
CG33093,0.031214078,0,0
CG33095,0,0,0
CG33096,1.405949026,2.193818574,0.856210828
CG33098,0.129325183,0,0
CG33099,0.187284471,0.329426702,0.420632396
CG33107,10.85297891,25.20146997,36.76799275
CG33108,5.246912347,7.103556051,6.751441865
CG33109,0,12.61101234,1.94013297
CG33110,0.121011187,0.127155986,0.070817922
CG33111,12.92897588,8.428164674,9.746630937
CG33116,159.4002205,140.7461594,87.3278375
